id,object,expected,base_pred,abl_pred,base_ok,abl_ok,is_keys
91,the gift,Ben,Ben,Ben,1,1,0
92,the bag,Emily,Emily,Emily,1,1,0
93,the bag,Dan,Dan,Dan,1,1,0
94,the gift,Henry,Henry,Henry,1,1,0
95,the gift,Rachel,Rachel,Rachel,1,1,0
96,the flowers,Emily,Emily,Emily,1,1,0
97,the flowers,Steve,Steve,Steve,1,1,0
98,a card,Tom,Tom,Tom,1,1,0
99,the gift,Lily,Lily,Lily,1,1,0
100,a drink,Chris,Chris,Chris,1,1,0
101,the flowers,Sarah,her,her,0,0,0
102,the bag,Karen,Karen,Karen,1,1,0
103,a drink,Susan,Susan,Susan,1,1,0
104,a book,Emily,her,her,0,0,0
105,the keys,David,the,the,0,0,1
106,a card,Jack,Jack,Jack,1,1,0
107,the flowers,Rachel,Rachel,Rachel,1,1,0
108,the flowers,Ben,the,the,0,0,0
109,the flowers,Susan,Susan,Susan,1,1,0
110,the gift,Robert,Robert,Robert,1,1,0
111,the keys,Brian,the,the,0,0,1
112,a book,Susan,Susan,Susan,1,1,0
113,a card,Emily,Emily,Emily,1,1,0
114,the bag,Mary,Mary,Mary,1,1,0
115,the bag,Lily,Lily,Lily,1,1,0
116,the bag,Lisa,Lisa,Lisa,1,1,0
117,the flowers,Henry,Henry,Henry,1,1,0
118,a drink,Emily,her,her,0,0,0
119,a book,Steve,Steve,Steve,1,1,0
120,the bag,Kevin,Kevin,Kevin,1,1,0
121,a book,Karen,Karen,Karen,1,1,0
122,the bag,Mary,Mary,Mary,1,1,0
123,a card,Robert,Robert,Robert,1,1,0
124,the gift,Lily,Lily,Lily,1,1,0
125,a card,John,John,John,1,1,0
126,a drink,Tom,Tom,Tom,1,1,0
127,a book,Rachel,Rachel,Rachel,1,1,0
128,the ball,Sarah,Sarah,Sarah,1,1,0
129,a book,Anna,Anna,Anna,1,1,0
130,the gift,Rachel,Rachel,Rachel,1,1,0
131,the bag,John,John,John,1,1,0
132,the ball,Chris,Chris,Chris,1,1,0
133,the keys,Lily,the,the,0,0,1
134,a card,David,David,David,1,1,0
135,a drink,Karen,her,her,0,0,0
136,the bag,Sarah,Sarah,Sarah,1,1,0
137,a book,Helen,her,her,0,0,0
138,the flowers,Henry,Henry,Henry,1,1,0
139,a card,Rachel,Rachel,Rachel,1,1,0
140,the flowers,Tom,Tom,Tom,1,1,0
141,a card,Robert,Robert,Robert,1,1,0
142,a book,Ben,Ben,Ben,1,1,0
143,a card,Lisa,Lisa,Lisa,1,1,0
144,a drink,Kevin,Kevin,Kevin,1,1,0
145,the flowers,Susan,Susan,Susan,1,1,0
146,the flowers,Sarah,Sarah,Sarah,1,1,0
147,the bag,Paul,Paul,Paul,1,1,0
148,the flowers,Steve,Steve,Steve,1,1,0
149,a card,Henry,Henry,Henry,1,1,0
150,the ball,Paul,Paul,Paul,1,1,0
151,the keys,Chris,the,the,0,0,1
152,the gift,Henry,Henry,Henry,1,1,0
153,the gift,Rachel,Rachel,Rachel,1,1,0
154,a drink,Mike,Mike,Mike,1,1,0
155,the gift,Mary,Mary,Mary,1,1,0
156,the keys,Ben,the,the,0,0,1
157,the flowers,Paul,the,the,0,0,0
158,the gift,Mike,Mike,Mike,1,1,0
159,the bag,Rachel,Rachel,Rachel,1,1,0
160,a book,Laura,Laura,Laura,1,1,0
161,the keys,Laura,the,the,0,0,1
162,the ball,David,his,his,0,0,0
163,the gift,Paul,Paul,Paul,1,1,0
164,the ball,Henry,Henry,Henry,1,1,0
165,a book,Steve,Steve,Steve,1,1,0
166,a book,David,the,the,0,0,0
167,the gift,Robert,Robert,Robert,1,1,0
168,the flowers,Paul,Paul,Paul,1,1,0
169,the ball,Susan,Susan,Susan,1,1,0
170,a book,David,his,his,0,0,0
171,a drink,Dan,Dan,Dan,1,1,0
172,the flowers,Paul,Paul,Paul,1,1,0
173,the bag,Lucy,Lucy,Lucy,1,1,0
174,the flowers,David,David,David,1,1,0
175,a card,Mary,Mary,Mary,1,1,0
176,a drink,Tom,Tom,Tom,1,1,0
177,the flowers,Mary,her,her,0,0,0
178,the flowers,Mike,Mike,Mike,1,1,0
179,a card,Lisa,Lisa,Lisa,1,1,0
180,a card,James,James,James,1,1,0
181,the bag,Sarah,Sarah,Sarah,1,1,0
182,the gift,Tom,his,his,0,0,0
183,a drink,Lily,Lily,Lily,1,1,0
184,a card,Mary,Mary,Mary,1,1,0
185,the ball,Robert,Robert,Robert,1,1,0
186,the flowers,Dan,Dan,Dan,1,1,0
187,a book,John,John,John,1,1,0
188,the keys,John,the,the,0,0,1
189,the keys,James,James,James,1,1,1
190,the gift,Lucy,Lucy,Lucy,1,1,0
191,the ball,Sarah,Sarah,Sarah,1,1,0
192,the ball,Dan,Dan,Dan,1,1,0
193,the bag,Tom,Tom,Tom,1,1,0
194,a drink,Jessica,Jessica,Jessica,1,1,0
195,a book,Paul,Paul,Paul,1,1,0
196,a card,Sarah,Sarah,Sarah,1,1,0
197,the ball,Brian,Brian,Brian,1,1,0
198,a drink,Ben,Ben,Ben,1,1,0
199,the bag,Sarah,Sarah,Sarah,1,1,0
200,a card,Mary,Mary,Mary,1,1,0
201,the flowers,Robert,Robert,Robert,1,1,0
202,a book,Dan,Dan,Dan,1,1,0
203,a card,Jack,Jack,Jack,1,1,0
204,the bag,Tom,Tom,Tom,1,1,0
205,a drink,Lucy,Lucy,Lucy,1,1,0
206,the ball,Karen,Karen,Karen,1,1,0
207,the flowers,James,James,James,1,1,0
208,a drink,Paul,Paul,Paul,1,1,0
209,a card,Mary,Mary,Mary,1,1,0
210,the bag,Dan,Dan,Dan,1,1,0
211,the ball,Tom,Tom,Tom,1,1,0
212,the flowers,Dan,Dan,Dan,1,1,0
213,the flowers,Anna,Anna,Anna,1,1,0
214,the keys,David,the,the,0,0,1
215,the bag,Laura,Laura,Laura,1,1,0
216,the ball,Ben,Ben,Ben,1,1,0
217,the ball,Sarah,Sarah,Sarah,1,1,0
218,the gift,Lisa,Lisa,Lisa,1,1,0
219,the gift,Steve,Steve,Steve,1,1,0
220,the flowers,Ben,Ben,Ben,1,1,0
221,a card,Jack,Jack,Jack,1,1,0
222,a book,Chris,Chris,Chris,1,1,0
223,the gift,Karen,her,her,0,0,0
224,a book,Laura,Laura,Laura,1,1,0
225,a book,Brian,Brian,Brian,1,1,0
226,the gift,Jack,Jack,Jack,1,1,0
227,the gift,Rachel,Rachel,Rachel,1,1,0
228,the keys,James,the,the,0,0,1
229,a card,Susan,Susan,Susan,1,1,0
230,the gift,Alex,Alex,Alex,1,1,0
231,the bag,Lisa,Lisa,Lisa,1,1,0
232,the flowers,Steve,Steve,Steve,1,1,0
233,the ball,Helen,Helen,Helen,1,1,0
234,the gift,Rachel,her,her,0,0,0
235,a drink,Dan,Dan,Dan,1,1,0
236,the ball,James,James,James,1,1,0
237,the bag,Robert,Robert,Robert,1,1,0
238,the flowers,Emily,Emily,Emily,1,1,0
239,the ball,Mary,her,her,0,0,0
240,the keys,Susan,Susan's,Susan's,0,0,1
241,a drink,Helen,Helen,Helen,1,1,0
242,the flowers,Chris,Chris,Chris,1,1,0
243,a drink,Chris,Chris,Chris,1,1,0
244,the keys,Dan,the,the,0,0,1
245,a card,Chris,Chris,Chris,1,1,0
246,the gift,Helen,Helen,Helen,1,1,0
247,a book,David,David,David,1,1,0
248,a book,Ben,Ben,Ben,1,1,0
249,a card,Jack,Jack,Jack,1,1,0
250,a book,Anna,Anna,Anna,1,1,0
251,the flowers,James,James,James,1,1,0
252,the flowers,Lisa,Lisa,Lisa,1,1,0
253,the flowers,Mary,Mary,Mary,1,1,0
254,the bag,Sarah,Sarah,Sarah,1,1,0
255,the keys,Lucy,the,the,0,0,1
256,the keys,Kevin,the,the,0,0,1
257,the bag,Kevin,Kevin,Kevin,1,1,0
258,the keys,Jessica,the,the,0,0,1
259,the bag,Karen,Karen,Karen,1,1,0
260,a card,Susan,Susan,Susan,1,1,0
261,a card,Emily,Emily,Emily,1,1,0
262,a card,Steve,Steve,Steve,1,1,0
263,the keys,Sarah,the,the,0,0,1
264,a card,Emily,Emily,Emily,1,1,0
265,the keys,Mary,the,the,0,0,1
266,a drink,Ben,Ben,Ben,1,1,0
267,the keys,Paul,the,the,0,0,1
268,the ball,Steve,Steve,Steve,1,1,0
269,the keys,Ben,the,the,0,0,1
270,a drink,Susan,Susan,Susan,1,1,0
271,the gift,Mike,Mike,Mike,1,1,0
272,a book,John,John,John,1,1,0
273,the keys,Dan,the,the,0,0,1
274,a card,Emily,Emily,Emily,1,1,0
275,the keys,Paul,Paul's,Paul's,0,0,1
276,the keys,Mike,Mike,Mike,1,1,1
277,the flowers,Steve,Steve,Steve,1,1,0
278,the keys,Anna,the,the,0,0,1
279,the flowers,James,James,James,1,1,0
280,a drink,Susan,Susan,Susan,1,1,0
281,a book,Paul,Paul,Paul,1,1,0
282,a drink,Brian,Brian,Brian,1,1,0
283,a book,Emily,Emily,Emily,1,1,0
284,a card,Lucy,Lucy,Lucy,1,1,0
285,the bag,Ben,Ben,Ben,1,1,0
286,the bag,Tom,Tom,Tom,1,1,0
287,the gift,Karen,Karen,Karen,1,1,0
288,a book,John,John,John,1,1,0
289,the keys,Lucy,the,the,0,0,1
290,the bag,James,James,James,1,1,0
291,the gift,Tom,her,her,0,0,0
292,the keys,Brian,the,the,0,0,1
293,a card,Chris,Chris,Chris,1,1,0
294,the gift,James,James,James,1,1,0
295,the keys,Kevin,the,the,0,0,1
296,the flowers,Karen,Karen,Karen,1,1,0
297,a card,Helen,Helen,Helen,1,1,0
298,the flowers,Tom,Tom,Tom,1,1,0
299,a card,Anna,Anna,Anna,1,1,0
